"Tag Code","Event File Name","Event Type Name","Event Capture Method Name","Event Capture Method Code","Event Site Name","Event Site Code Value","Event Date MMDDYYYY","Event Date Time Value","Event Release Site Name","Event Release Date MMDDYYYY","Event Release Date Time Value","Event Rear Type Name","Event Rear Type Code","Event Species Code","Event Species Name","Event SRR Code","Event SRR Name","Event Conditional Comments Code","Event Conditional Comments Name","Mark File Name","Mark Data Project Code and Name","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","CTH Count"
"3DD.003D57F3E5","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:24:26 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:24:26 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E5","ILR-2021-287-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/14/2021","10/14/2021 9:12:17 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/14/2021","10/14/2021 9:12:17 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E6","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:17:28 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:17:28 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E7","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:28:19 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:28:19 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E8","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:16:08 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:16:08 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E9","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:29:07 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:29:07 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3EA","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:30:07 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:30:07 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3EB","ILR-2021-285-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/12/2021","10/12/2021 8:27:35 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/12/2021","10/12/2021 8:27:35 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-285-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/12/2021","1"
"3DD.003D57F3EC","ILR-2021-285-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/12/2021","10/12/2021 8:11:17 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/12/2021","10/12/2021 8:11:17 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-285-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/12/2021","1"
"3DD.003D57F3ED","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:07:58 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:07:58 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
